Iteration,Value
455,-5.511090360897129
456,-5.507187937872914
457,-5.508815874817763
458,-5.50493575120091
459,-5.506561472500687
460,-5.502703407583285
461,-5.50432688910508
462,-5.5004906459272185
463,-5.496671191559763
464,-5.49286841603234
465,-5.489082210332923
466,-5.485312466397417
467,-5.481559077099375
468,-5.477821936239852
469,-5.474100938537391
470,-5.485343453520338
471,-5.48162228480309
472,-5.492800408420734
473,-5.503930659988622
474,-5.50019362866386
475,-5.501773999391656
476,-5.498057458967418
477,-5.499635654383623
478,-5.495939392403997
479,-5.492258759439084
480,-5.4885936565710685
481,-5.484943985715129
482,-5.486533152761947
483,-5.488115656634563
484,-5.484489891662524
485,-5.486070053684106
486,-5.496912882511066
487,-5.493291442006885
488,-5.489685028226788
489,-5.4860935478370845
490,-5.487654072531636
491,-5.484081589907859
492,-5.480523808858666
493,-5.476980638819942
494,-5.487664342204789
495,-5.484121061341384
496,-5.480592242848851
497,-5.477077798362397
498,-5.487674444891386
499,-5.484159892264832
500,-5.48065956859628
501,-5.482196392700126
502,-5.478714141908392
503,-5.475245904198315
504,-5.485718558789533
505,-5.496149238813252
506,-5.492666940335625
507,-5.503042111893089
508,-5.499559956291709
509,-5.496091646239439
510,-5.492637099322297
511,-5.502930150394183
512,-5.499475742982337
513,-5.496034962424186
514,-5.4926077282461865
515,-5.489193960607196
516,-5.48579358029228
517,-5.495979166026786
518,-5.497435041679077
519,-5.49403848214364
520,-5.490655138793167
521,-5.48728493464017
522,-5.488746373720325
523,-5.485392899109647
524,-5.482052372277389
525,-5.4787247183809
526,-5.488747609096754
527,-5.48541987856106
528,-5.48210489795079
529,-5.483556681128704
530,-5.480257908836474
531,-5.476971703295833
532,-5.473697992833293
533,-5.475154709165678
534,-5.471896840398319
535,-5.468651288715146
536,-5.465417984396816
537,-5.466879320584392
538,-5.476698396843867
539,-5.473468193472677
540,-5.470250088241455
541,-5.467044013310162
542,-5.463849901345031
543,-5.460667685513848
544,-5.4621188375853835
545,-5.458951641226227
546,-5.455796175223956
547,-5.465472389115639
548,-5.462316535999189
549,-5.459172306651125
550,-5.456039636969781
551,-5.457480642223047
552,-5.454362545808719
553,-5.451255850112542
554,-5.448160492721826
555,-5.445076411678617
556,-5.442003545475565
557,-5.443454333051834
558,-5.4448998641513775
559,-5.446340167290344
560,-5.4432872066995674
561,-5.444725225246055
562,-5.446158071063958
563,-5.443121880631168
564,-5.452526013265565
565,-5.449489294100511
566,-5.446463420361046
567,-5.443448334050242
568,-5.444868154630224
569,-5.45418566748279
570,-5.455581415412785
571,-5.452571536801434
572,-5.461826053327624
573,-5.458815778101297
574,-5.455816102435626
575,-5.452826970445405
576,-5.449848326637606
577,-5.459026574560526
578,-5.468172730707492
579,-5.4651829004619294
580,-5.466535173283424
581,-5.463558590373366
582,-5.460592342820634
583,-5.457636376888536
584,-5.4546906392122585
585,-5.451755076795657
586,-5.448829637008078
587,-5.457851664983322
588,-5.459197946486787
589,-5.468171239701433
590,-5.4694952401471495
591,-5.470814714095616
592,-5.472129684720026
593,-5.473440175035665
594,-5.4747462079012505
595,-5.471826435052522
596,-5.468916559738874
597,-5.470223617167404
598,-5.467326279976243
599,-5.464438714579993
600,-5.465746709168242
601,-5.462871504615018
602,-5.460005948399221
603,-5.461314795219323
604,-5.458461425996548
605,-5.4597684812119125
606,-5.461071179576559
607,-5.469772605052514
608,-5.466924145575683
609,-5.468208496080532
610,-5.476854885806599
611,-5.474008844673034
612,-5.471172196414498
613,-5.47244108488828
614,-5.4696163462618195
615,-5.470883622376332
616,-5.468070698405223
617,-5.469336356018308
618,-5.4665351528222
619,-5.4637430889513645
620,-5.460960119751118
621,-5.458186200857214
622,-5.4554212881934845
623,-5.456695139428179
624,-5.453941587422632
625,-5.451196932192547
626,-5.44846113068901
627,-5.445734140140396
628,-5.454166445205484
629,-5.451439051232441
630,-5.448720398906748
631,-5.4499886662684975
632,-5.44728101664187
633,-5.444582003856158
634,-5.441891586652565
635,-5.439209724034675
636,-5.436536375266366
637,-5.433871499869747
638,-5.435149215059827
639,-5.4324949508970155
640,-5.429849059807273
641,-5.4311270730989145
642,-5.428491653172658
643,-5.425864507720268
644,-5.423245597833559
645,-5.431488762611011
646,-5.428869248919431
647,-5.426257908437497
648,-5.423654702972642
649,-5.421059594569885
650,-5.418472545509994
651,-5.426646429765986
652,-5.424058741794212
653,-5.432198725022699
654,-5.433447473132232
655,-5.441547905208492
656,-5.4427784276620175
657,-5.450839640354741
658,-5.448238659311252
659,-5.449453282344466
660,-5.457467310797495
661,-5.454868124063453
662,-5.45227686167921
663,-5.460249998709569
664,-5.461437137769281
665,-5.46937217684797
666,-5.470541897034564
667,-5.467946523514088
668,-5.465358991001226
669,-5.462779264016307
670,-5.46020730729339
671,-5.461382014350092
672,-5.462553193757975
673,-5.459993143992221
674,-5.457440759046125
675,-5.458612577791945
676,-5.456069872451957
677,-5.463871002136269
678,-5.471648914172711
679,-5.479403712057484
680,-5.476845249576686
681,-5.477977904762499
682,-5.4791072088974655
683,-5.4868051714997215
684,-5.484250886586005
685,-5.481704125339192
686,-5.479164854566634
687,-5.476633041270648
688,-5.477754382119224
689,-5.485386700579701
690,-5.486491964906339
691,-5.4940892436300155
692,-5.495178599688864
693,-5.492645588626726
694,-5.490119940968838
695,-5.487601624653934
696,-5.4951422424307035
697,-5.49262394685555
698,-5.490112929591309
699,-5.491197019880499
700,-5.48869529506799
701,-5.496180090169511
702,-5.493678394637658
703,-5.491183877572181
704,-5.492258667862192
705,-5.493330382929628
706,-5.500755093654907
707,-5.498264715489921
708,-5.499323294955035
709,-5.49684203848995
710,-5.4978996314750495
711,-5.49542743341622
712,-5.4964840340771035
713,-5.49753764576865
714,-5.498588281155982
715,-5.505911327149591
716,-5.503445254857831
717,-5.500986119478284
718,-5.498533891782388
719,-5.496088542705554
720,-5.497132378780195
721,-5.504396008866691
722,-5.5054253265917374
723,-5.506451773137635
724,-5.504012425264184
725,-5.5015798627812025
726,-5.499154057416229
727,-5.506354437212635
728,-5.507372488546135
729,-5.50494873683307
730,-5.502531680566726
731,-5.500121292041806
732,-5.49771754370566
733,-5.495320408157234
734,-5.492929858146029
735,-5.490545866571069
736,-5.4881684064798755
737,-5.495285314118925
738,-5.49290787516521
739,-5.493928993343703
740,-5.491559880273752
741,-5.4891972137699785
742,-5.486840967555617
743,-5.484491115496518
744,-5.482147631600181
745,-5.483175019784755
746,-5.484199631244506
747,-5.481866028503285
748,-5.479538715796408
749,-5.477217667726695
750,-5.478244777716309
751,-5.47926913036367
752,-5.476957777642003
753,-5.483937255704898
754,-5.481625842261442
755,-5.4793206008165
756,-5.477021506682078
