Iteration,Value
665,-5.95904
666,-5.95904
667,-5.95904
668,-5.95904
669,-5.95904
670,-5.95904
671,-5.95904
672,-5.95904
673,-5.95904
674,-5.95904
675,-5.95904
676,-5.95904
677,-5.95904
678,-5.95904
679,-5.95904
680,-5.95904
681,-5.95904
682,-5.95904
683,-5.95904
684,-5.95904
685,-5.95904
686,-5.95904
687,-5.95904
688,-5.95904
689,-5.95904
690,-5.95904
691,-5.95904
692,-5.95904
693,-5.95904
694,-5.95904
695,-5.95904
696,-5.95904
697,-5.95904
698,-5.95904
699,-5.95904
700,-5.95904
701,-5.95904
702,-5.95904
703,-5.95904
704,-5.95904
705,-5.95904
706,-5.95904
707,-5.95904
708,-5.95904
709,-5.95904
710,-5.95904
711,-5.95904
712,-5.95904
713,-5.95904
714,-5.95904
715,-5.95904
716,-5.95904
717,-5.95904
718,-5.95904
719,-5.95904
720,-5.95904
721,-5.95904
722,-5.95904
723,-5.95904
724,-5.95904
725,-5.95904
726,-5.95904
727,-5.95904
728,-5.95904
729,-5.95904
730,-5.95904
731,-5.95904
732,-5.95904
733,-5.95904
734,-5.95904
735,-5.95904
736,-5.95904
737,-5.95904
738,-5.95904
739,-5.95904
740,-5.95904
741,-5.95904
742,-5.95904
743,-5.95904
744,-5.95904
745,-5.95904
746,-5.95904
747,-5.95904
748,-5.95904
749,-5.95904
750,-5.95904
751,-5.95904
752,-5.95904
753,-5.95904
754,-5.95904
755,-5.95904
756,-5.95904
757,-5.95904
758,-5.95904
759,-5.95904
760,-5.95904
761,-5.95904
762,-5.95904
763,-5.95904
764,-5.95904
765,-5.95904
766,-5.97952
767,-5.97952
768,-5.97952
769,-5.97952
770,-5.97952
771,-5.97952
772,-5.97952
773,-5.97952
774,-5.97952
775,-5.97952
776,-5.97952
777,-5.97952
778,-5.97952
779,-5.97952
780,-5.97952
781,-5.97952
782,-5.97952
783,-5.97952
784,-5.97952
785,-5.97952
786,-5.97952
787,-5.97952
788,-5.97952
789,-5.97952
790,-5.97952
791,-5.97952
792,-5.97952
793,-5.97952
794,-5.97952
795,-5.97952
796,-5.97952
797,-5.97952
798,-5.97952
799,-5.97952
800,-5.97952
801,-5.97952
802,-5.97952
803,-5.97952
804,-5.97952
805,-5.97952
806,-5.97952
807,-5.97952
808,-5.97952
809,-5.97952
810,-5.97952
811,-5.97952
812,-5.97952
813,-5.97952
814,-5.97952
815,-5.97952
816,-5.97952
817,-5.97952
818,-5.97952
819,-5.97952
820,-5.97952
821,-5.97952
822,-5.97952
823,-5.97952
824,-5.97952
825,-5.97952
826,-5.97952
827,-5.97952
828,-5.97952
829,-5.97952
830,-5.97952
831,-5.97952
832,-5.97952
833,-5.97952
834,-5.983616
835,-5.983616
836,-5.983616
837,-5.983616
838,-5.983616
839,-5.983616
840,-5.983616
841,-5.983616
842,-5.983616
843,-5.983616
844,-5.983616
845,-5.983616
846,-5.983616
847,-5.983616
848,-5.983616
849,-5.983616
850,-5.983616
851,-5.983616
852,-5.983616
853,-5.983616
854,-5.983616
855,-5.983616
856,-5.983616
857,-5.983616
858,-5.983616
859,-5.983616
860,-5.983616
861,-5.983616
862,-5.983616
863,-5.983616
864,-5.983616
865,-5.983616
866,-5.983616
867,-5.983616
868,-5.983616
869,-5.983616
870,-5.983616
871,-5.983616
872,-5.983616
873,-5.983616
874,-5.983616
875,-5.983616
876,-5.983616
877,-5.983616
878,-5.983616
879,-5.983616
880,-5.983616
881,-5.983616
882,-5.983616
883,-5.983616
884,-5.983616
885,-5.983616
886,-5.983616
887,-5.983616
888,-5.983616
889,-5.983616
890,-5.983616
891,-5.983616
892,-5.983616
893,-5.983616
894,-5.983616
895,-5.983616
896,-5.983616
897,-5.983616
898,-5.983616
899,-5.983616
900,-5.983616
901,-5.983616
902,-5.983616
903,-5.983616
904,-5.983616
905,-5.983616
906,-5.983616
907,-5.983616
908,-5.983616
909,-5.983616
910,-5.983616
911,-5.983616
912,-5.983616
913,-5.983616
914,-5.983616
915,-5.983616
916,-5.983616
917,-5.983616
918,-5.983616
919,-5.983616
920,-5.983616
921,-5.983616
922,-5.983616
923,-5.983616
924,-5.983616
925,-5.983616
926,-5.983616
927,-5.983616
928,-5.983616
929,-5.983616
930,-5.983616
931,-5.983616
932,-5.983616
933,-5.983616
934,-5.983616
935,-5.983616
936,-5.983616
937,-5.983616
938,-5.983616
939,-5.983616
940,-5.983616
941,-5.983616
942,-5.983616
943,-5.983616
944,-5.983616
945,-5.983616
946,-5.983616
947,-5.983616
948,-5.983616
949,-5.983616
950,-5.983616
951,-5.983616
952,-5.983616
953,-5.983616
954,-5.983616
955,-5.983616
956,-5.983616
957,-5.983616
958,-5.983616
959,-5.983616
960,-5.983616
961,-5.983616
962,-5.983616
963,-5.983616
964,-5.983616
965,-5.983616
966,-5.983616
967,-5.983616
968,-5.983616
969,-5.983616
970,-5.983616
971,-5.983616
972,-5.983616
973,-5.983616
974,-5.983616
975,-5.983616
976,-5.983616
977,-5.983616
978,-5.983616
979,-5.983616
980,-5.983616
981,-5.983616
982,-5.983616
983,-5.983616
984,-5.983616
985,-5.983616
986,-5.983616
987,-5.983616
988,-5.983616
989,-5.983616
990,-5.983616
991,-5.983616
992,-5.983616
993,-5.983616
994,-5.983616
995,-5.983616
996,-5.983616
997,-5.983616
998,-5.983616
999,-5.983616
1000,-5.983616
